Data scraped on 02-Mar-2022 17:13:06

id|category|title|director|actors|rating|users_rated|year|url
0012349|Movie|Το χαμίνι|Charles Chaplin |Charles Chaplin, Edna Purviance|8.2|123,367|1921|https://www.imdb.com/title/tt0012349/
0053291|Movie|Μερικοί το προτιμούν καυτό|Billy Wilder |Marilyn Monroe, Tony Curtis|8.2|259,986|1959|https://www.imdb.com/title/tt0053291/
10272386|Movie|Ο Πατέρας|Florian Zeller |Anthony Hopkins, Olivia Colman|8.2|126,673|2020|https://www.imdb.com/title/tt10272386/
0042192|Movie|Όλα για την Εύα|Joseph L. Mankiewicz |Bette Davis, Anne Baxter|8.2|128,476|1950|https://www.imdb.com/title/tt0042192/
6966692|Movie|Το πράσινο βιβλίο|Peter Farrelly |Viggo Mortensen, Mahershala Ali|8.2|453,104|2018|https://www.imdb.com/title/tt6966692/
0993846|Movie|Ο λύκος της Wall Street|Martin Scorsese |Leonardo DiCaprio, Jonah Hill|8.2|1,319,522|2013|https://www.imdb.com/title/tt0993846/
0105695|Movie|Οι ασυγχώρητοι|Clint Eastwood |Clint Eastwood, Gene Hackman|8.2|400,460|1992|https://www.imdb.com/title/tt0105695/
0112641|Movie|Καζίνο|Martin Scorsese |Robert De Niro, Sharon Stone|8.2|500,848|1995|https://www.imdb.com/title/tt0112641/
0457430|Movie|Ο λαβύρινθος του Πάνα|Guillermo del Toro |Ivana Baquero, Ariadna Gil|8.2|651,111|2006|https://www.imdb.com/title/tt0457430/
0055031|Movie|Η δίκη της Νυρεμβέργης|Stanley Kramer |Spencer Tracy, Burt Lancaster|8.2|75,395|1961|https://www.imdb.com/title/tt0055031/
0089881|Movie|Ran|Akira Kurosawa |Tatsuya Nakadai, Akira Terao|8.2|122,183|1985|https://www.imdb.com/title/tt0089881/
0268978|Movie|Ένας υπέροχος άνθρωπος|Ron Howard |Russell Crowe, Ed Harris|8.2|901,714|2001|https://www.imdb.com/title/tt0268978/
0167404|Movie|Η έκτη αίσθηση|M. Night Shyamalan |Bruce Willis, Haley Joel Osment|8.2|960,669|1999|https://www.imdb.com/title/tt0167404/
0071853|Movie|Οι Ιππότες της Ελεεινής Τραπέζης|Terry Gilliam |Graham Chapman, John Cleese|8.2|527,462|1975|https://www.imdb.com/title/tt0071853/
0469494|Movie|Θα χυθεί αίμα|Paul Thomas Anderson |Daniel Day-Lewis, Paul Dano|8.2|562,395|2007|https://www.imdb.com/title/tt0469494/
0120382|Movie|Ζωντανή μετάδοση|Peter Weir |Jim Carrey, Ed Harris|8.2|1,021,746|1998|https://www.imdb.com/title/tt0120382/
0055630|Movie|Γιοζίμπο|Akira Kurosawa |Toshirô Mifune, Eijirô Tôno|8.2|119,842|1961|https://www.imdb.com/title/tt0055630/
0040897|Movie|Ο θησαυρός της Σιέρρα Μάντρε|John Huston |Humphrey Bogart, Walter Huston|8.2|122,100|1948|https://www.imdb.com/title/tt0040897/
1130884|Movie|Το νησί των καταραμένων|Martin Scorsese |Leonardo DiCaprio, Emily Mortimer|8.2|1,240,286|2010|https://www.imdb.com/title/tt1130884/
0057115|Movie|Η μεγάλη απόδραση|John Sturges |Steve McQueen, James Garner|8.2|238,933|1963|https://www.imdb.com/title/tt0057115/
0042876|Movie|Η γκέισα και ο σαμουράι|Akira Kurosawa |Toshirô Mifune, Machiko Kyô|8.1|163,976|1950|https://www.imdb.com/title/tt0042876/
0107290|Movie|Τζουράσικ Παρκ|Steven Spielberg |Sam Neill, Laura Dern|8.1|935,216|1993|https://www.imdb.com/title/tt0107290/
0266697|Movie|Kill Bill Volume 1|Quentin Tarantino |Uma Thurman, David Carradine|8.1|1,073,065|2003|https://www.imdb.com/title/tt0266697/
0266543|Movie|Ψάχνοντας τον Νέμο|Andrew Stanton |Albert Brooks, Ellen DeGeneres|8.1|1,007,220|2003|https://www.imdb.com/title/tt0266543/
0477348|Movie|Καμιά πατρίδα για τους μελλοθάνατους|Ethan Coen |Tommy Lee Jones, Javier Bardem|8.1|929,905|2007|https://www.imdb.com/title/tt0477348/
0081398|Movie|Οργισμένο είδωλο|Martin Scorsese |Robert De Niro, Cathy Moriarty|8.1|342,903|1980|https://www.imdb.com/title/tt0081398/
0080678|Movie|Ο άνθρωπος ελέφαντας|David Lynch |Anthony Hopkins, John Hurt|8.1|235,027|1980|https://www.imdb.com/title/tt0080678/
0434409|Movie|V for Vendetta|James McTeigue |Hugo Weaving, Natalie Portman|8.1|1,089,975|2005|https://www.imdb.com/title/tt0434409/
0031381|Movie|Όσα παίρνει ο άνεμος|Victor Fleming |Clark Gable, Vivien Leigh|8.1|307,629|1939|https://www.imdb.com/title/tt0031381/
0071315|Movie|Τσάιναταουν|Roman Polanski |Jack Nicholson, Faye Dunaway|8.1|316,485|1974|https://www.imdb.com/title/tt0071315/
2096673|Movie|Τα μυαλά που κουβαλάς|Pete Docter |Amy Poehler, Bill Hader|8.1|677,681|2015|https://www.imdb.com/title/tt2096673/
0120735|Movie|Δυο καπνισμένες κάνες|Guy Ritchie |Jason Flemyng, Dexter Fletcher|8.1|566,739|1998|https://www.imdb.com/title/tt0120735/
0084787|Movie|Η απειλή|John Carpenter |Kurt Russell, Wilford Brimley|8.1|404,820|1982|https://www.imdb.com/title/tt0084787/
0046912|Movie|Τηλεφωνήσατε ασφάλεια αμέσου δράσεως|Alfred Hitchcock |Ray Milland, Grace Kelly|8.1|170,822|1954|https://www.imdb.com/title/tt0046912/
1305806|Movie|Το μυστικό στα μάτια της|Juan José Campanella |Ricardo Darín, Soledad Villamil|8.1|204,862|2009|https://www.imdb.com/title/tt1305806/
0347149|Movie|Το κινούμενο κάστρο|Hayao Miyazaki |Chieko Baishô, Takuya Kimura|8.1|372,849|2004|https://www.imdb.com/title/tt0347149/
0050212|Movie|Η γέφυρα του ποταμού Κβάι|David Lean |William Holden, Alec Guinness|8.1|215,419|1957|https://www.imdb.com/title/tt0050212/
0117951|Movie|Trainspotting|Danny Boyle |Ewan McGregor, Ewen Bremner|8.1|668,542|1996|https://www.imdb.com/title/tt0117951/
